일자,전체글,활동회원수,가입회원수,페이지뷰
2015.12.14 ~ 2015.12.20,"1,563,644","9,284","190,087","29,044"
2015.12.21 ~ 2015.12.27,"1,568,808","9,186","190,013","29,963"
2015.12.28 ~ 2016.01.03,"1,575,181","10,909","190,060","41,571"
2016.01.04 ~ 2016.01.10,"1,579,259","8,262","189,938","22,368"
2016.01.11 ~ 2016.01.17,"1,582,081","8,176","189,867","20,745"
2016.01.18 ~ 2016.01.24,"1,586,028","8,000","189,703","18,544"
2016.01.25 ~ 2016.01.31,"1,588,623","7,671","189,577","18,378"
2016.02.01 ~ 2016.02.07,"1,591,721","7,080","189,481","14,973"
2016.02.08 ~ 2016.02.14,"1,594,444","7,347","189,380","13,059"
2016.02.15 ~ 2016.02.21,"1,596,864","6,713","189,271","12,562"
2016.02.22 ~ 2016.02.28,"1,599,433","6,768","189,203","12,024"
2016.02.29 ~ 2016.03.06,"1,601,954","6,157","189,089","12,977"
2016.03.07 ~ 2016.03.13,"1,604,363","5,698","188,971","10,374"
2016.03.14 ~ 2016.03.20,"1,606,918","8,158","188,899","12,413"
2016.03.21 ~ 2016.03.27,"1,609,386","6,015","188,827","10,187"
2016.03.28 ~ 2016.04.03,"1,613,004","11,364","189,408","21,573"
2016.04.04 ~ 2016.04.10,"1,615,810","7,267","189,450","13,550"
2016.04.11 ~ 2016.04.17,"1,617,969","6,350","189,433","10,682"
2016.04.18 ~ 2016.04.24,"1,619,607","6,081","189,397","9,309"
2016.04.25 ~ 2016.05.01,"1,621,521","6,240","189,343","8,455"
2016.05.02 ~ 2016.05.08,"1,623,770","7,722","189,304","10,341"
2016.05.09 ~ 2016.05.15,"1,626,258","5,833","189,254","9,180"
2016.05.16 ~ 2016.05.22,"1,628,386","6,742","189,196","10,975"
2016.05.23 ~ 2016.05.29,"1,630,260","5,376","189,159","8,087"
2016.05.30 ~ 2016.06.05,"1,631,938","5,802","189,144","8,378"
2016.06.06 ~ 2016.06.12,"1,633,736","5,553","189,152","9,464"
2016.06.13 ~ 2016.06.19,"1,635,608","5,147","189,094","7,971"
2016.06.20 ~ 2016.06.26,"1,637,674","5,017","189,065","7,450"
2016.06.27 ~ 2016.07.03,"1,641,558","7,745","189,159","13,067"
2016.07.04 ~ 2016.07.10,"1,643,958","6,412","189,195","13,517"
2016.07.11 ~ 2016.07.17,"1,646,261","5,439","189,169","11,997"
2016.07.18 ~ 2016.07.24,"1,648,460","5,488","189,154","11,380"
2016.07.25 ~ 2016.07.31,"1,650,674","5,663","189,163","13,632"
2016.08.01 ~ 2016.08.07,"1,652,602","5,321","189,139","10,516"
2016.08.08 ~ 2016.08.14,"1,654,237","5,252","189,078","9,497"
2016.08.15 ~ 2016.08.21,"1,656,029","5,074","189,074","10,025"
2016.08.22 ~ 2016.08.28,"1,657,537","4,887","189,030","10,236"
2016.08.29 ~ 2016.09.04,"1,660,323","6,621","189,084","19,076"
2016.09.05 ~ 2016.09.11,"1,662,609","6,297","189,182","19,261"
2016.09.12 ~ 2016.09.18,"1,664,506","7,038","189,220","16,576"
2016.09.19 ~ 2016.09.25,"1,666,576","6,974","189,309","18,027"
2016.09.26 ~ 2016.10.02,"1,668,501","7,322","189,324","12,756"
2016.10.03 ~ 2016.10.09,"1,670,147","5,563","189,327","10,967"
2016.10.10 ~ 2016.10.16,"1,671,904","5,029","189,313","9,562"
2016.10.17 ~ 2016.10.23,"1,673,484","5,228","189,290","10,299"
2016.10.24 ~ 2016.10.30,"1,675,722","7,487","189,514","14,641"
2016.10.31 ~ 2016.11.06,"1,678,220","8,314","189,990","26,838"
2016.11.07 ~ 2016.11.13,"1,680,905","7,016","190,327","23,300"
2016.11.14 ~ 2016.11.20,"1,682,607","5,759","190,307","15,351"
2016.11.21 ~ 2016.11.27,"1,684,070","5,557","190,322","12,673"
2016.11.28 ~ 2016.12.04,"1,686,744","6,967","190,428","26,042"
2016.12.05 ~ 2016.12.11,"1,688,462","8,640","190,253","26,600"
2016.12.12 ~ 2016.12.18,"1,688,593","5,509","190,265","13,157"
2016.12.19 ~ 2016.12.25,"1,690,572","5,502","190,323","12,580"
2016.12.26 ~ 2017.01.01,"1,693,297","5,705","190,335","16,863"
2017.01.02 ~ 2017.01.08,"1,695,703","7,561","190,410","18,241"
2017.01.09 ~ 2017.01.15,"1,697,763","5,724","190,369","12,160"
2017.01.16 ~ 2017.01.22,"1,699,999","5,177","190,316","9,633"
2017.01.23 ~ 2017.01.29,"1,701,155","7,158","190,332","16,097"
2017.01.30 ~ 2017.02.05,"1,703,244","5,729","190,279","10,767"
2017.02.06 ~ 2017.02.12,"1,705,351","7,010","190,323","10,853"
2017.02.13 ~ 2017.02.19,"1,707,044","5,517","190,292","9,886"
2017.02.20 ~ 2017.02.26,"1,709,447","5,772","190,206","11,057"
2017.02.27 ~ 2017.03.05,"1,711,666","5,031","190,155","9,404"
2017.03.06 ~ 2017.03.12,"1,713,820","5,148","190,148","8,657"
2017.03.13 ~ 2017.03.19,"1,715,980","4,820","190,145","9,893"
2017.03.20 ~ 2017.03.26,"1,719,496","8,805","190,401","20,260"
2017.03.27 ~ 2017.04.02,"1,722,534","6,413","190,403","16,071"
2017.04.03 ~ 2017.04.09,"1,725,130","7,270","190,467","14,429"
2017.04.10 ~ 2017.04.16,"1,726,906","7,004","190,606","17,702"
2017.04.17 ~ 2017.04.23,"1,730,403","8,608","191,160","27,842"
2017.04.24 ~ 2017.04.30,"1,733,760","8,290","191,648","29,733"
2017.05.01 ~ 2017.05.07,"1,736,429","8,151","191,993","22,582"
2017.05.08 ~ 2017.05.14,"1,738,943","6,304","192,136","17,180"
2017.05.15 ~ 2017.05.21,"1,741,712","5,978","192,271","15,695"
2017.05.22 ~ 2017.05.28,"1,744,122","5,701","192,374","12,941"
2017.05.29 ~ 2017.06.04,"1,747,055","5,630","192,500","17,628"
2017.06.05 ~ 2017.06.11,"1,749,275","7,343","192,755","18,166"
2017.06.12 ~ 2017.06.18,"1,751,451","4,923","192,866","11,496"
2017.06.19 ~ 2017.06.25,"1,753,086","4,765","192,915","11,586"
2017.06.26 ~ 2017.07.02,"1,754,454","6,670","193,280","12,915"
2017.07.03 ~ 2017.07.09,"1,755,520","4,993","193,321","9,123"
2017.07.10 ~ 2017.07.16,"1,756,805","8,042","194,194","14,933"
2017.07.17 ~ 2017.07.23,"1,761,767","14,140","198,805","28,235"
2017.07.24 ~ 2017.07.30,"1,764,525","8,624","199,990","108,049"
2017.07.31 ~ 2017.08.06,"1,768,430","10,739","202,156","19,522"
2017.08.07 ~ 2017.08.13,"1,777,189","9,598","202,453","33,934"
2017.08.14 ~ 2017.08.20,"1,786,548","9,838","202,716","40,249"
2017.08.21 ~ 2017.08.27,"1,793,350","9,637","202,973","61,429"
2017.08.28 ~ 2017.09.03,"1,798,091","9,058","203,118","21,127"
2017.09.04 ~ 2017.09.10,"1,803,232","11,006","203,559","33,779"
2017.09.11 ~ 2017.09.17,"1,808,114","10,787","203,954","36,512"
2017.09.18 ~ 2017.09.24,"1,812,628","12,334","204,850","38,233"
2017.09.25 ~ 2017.10.01,"1,815,625","12,439","206,153","34,733"
2017.10.02 ~ 2017.10.08,"1,817,873","9,123","206,656","17,278"
